source,image,threshold_clean_dice,threshold_clean_iou,threshold_clean_precision,threshold_clean_sensitivity,threshold_clean_specificity,threshold_clean_pred_density,threshold_clean_gt_density,threshold_clean_auprc,threshold_clean_roc_auc,final_binary_dice,final_binary_iou,final_binary_precision,final_binary_sensitivity,final_binary_specificity,final_binary_pred_density,final_binary_gt_density
RetCam,1.png,0.3372038693823812,0.20279327283323198,0.5141153501134234,0.2508754763621318,0.9656883933761572,0.061689453125,0.12641927083333335,0.2268432926883386,0.6085156336245117,0.2563793783609772,0.1470385100859714,0.6619491798005079,0.15897620764238957,0.9882510321801695,0.030361328125,0.12641927083333335
RetCam,2.png,0.5597188485192889,0.3886177694846997,0.6246395201291599,0.5070224719100886,0.9772320179121153,0.056438802083333336,0.06953125,0.40678168188472286,0.7438682042401343,0.5619564105187619,0.3907784260708556,0.6194450710579393,0.5142322097378036,0.9763923873495628,0.05772135416666667,0.06953125
RetCam,3.png,0.3024466423737538,0.1781662066850591,0.4098404020809091,0.23964939417374376,0.9767446708708988,0.036917317708333335,0.063134765625,0.16013527129269334,0.6086234434667399,0.12448293192097558,0.06637259347816851,0.24876390605682186,0.08301108533126667,0.9831066173277011,0.021067708333333334,0.063134765625
RetCam,4.png,0.4702731655061515,0.30742296918766815,0.6769636372680358,0.36027426272038016,0.975896906757325,0.065439453125,0.12296223958333333,0.34610957602005704,0.6688774506367187,0.27989050326383913,0.1627166780922495,0.6840263482914075,0.17594112352411248,0.9886054055659032,0.03162760416666666,0.12296223958333333
RetCam,5.png,0.44896687779045896,0.2894631142053745,0.5602487691111396,0.3745668745668616,0.9695157002227457,0.06280924479166666,0.0939453125,0.3165277983486324,0.6736253408548085,0.12702969408809167,0.06782258837053141,0.46365422396846456,0.07359667359667105,0.991172666522954,0.014912109375,0.0939453125
Neo,1.png,0.3476615660371038,0.21040578545600222,0.3258056488739478,0.3726606418558182,0.9614148024453534,0.05450439453125,0.04765150282118055,0.1697929466608376,0.667920006336894,0.3493434011818722,0.2116390540782392,0.324282318522572,0.3786024336440483,0.9605264563357396,0.055633544921875,0.04765150282118055
Neo,2.png,0.33293243721258503,0.19971142420641094,0.30553150969527765,0.3657323454743088,0.9718766815711181,0.03917100694444445,0.032723320855034724,0.1650055314165283,0.6698232023938241,0.33067627827452395,0.1980899653979184,0.2984153461217557,0.3707579918138764,0.9705112677315357,0.040656195746527776,0.032723320855034724
Neo,3.png,0.2832288276847324,0.16497762325701512,0.31244746427569653,0.2590076358040746,0.9646530940021336,0.048407660590277776,0.0583953857421875,0.13818961739955837,0.6124449892435796,0.2847911741528718,0.166038776072771,0.3114765401454714,0.262317452022174,0.9640391010855592,0.0491790771484375,0.0583953857421875
Neo,4.png,0.38769006911603654,0.24045629298052018,0.4368155288871258,0.34849713553246797,0.9688613244814583,0.051706949869791664,0.06481085883246528,0.21981366556020804,0.6594770740013728,0.3929993894816351,0.2445545987408596,0.44224163313375725,0.35362440160095343,0.9690915650375165,0.051823933919270836,0.06481085883246528
Neo,5.png,0.3890367599453184,0.24149325712243636,0.3989769820971671,0.37957980440782463,0.978503060059493,0.03447129991319445,0.036232842339409724,0.2315000787440818,0.6803502593745349,0.36895247050394325,0.22620583633018845,0.353708791208776,0.3855692293294471,0.9735140811993234,0.039496527777777776,0.036232842339409724
