source,image,variant,dice,iou,precision,sensitivity,specificity,pred_density,gt_density,auprc,roc_auc
RetCam,1.png,tuned_active,0.039484812604208504,0.020140018734900653,0.32076953278354114,0.021037181996085567,0.9935535317702785,0.008291015625,0.12641927083333335,0.36801930878669686,0.7653589685070685
RetCam,1.png,paper_triangle4_area200,0.12367202397166704,0.06591173054587529,0.5222392638035808,0.07014110619013107,0.9907141047234317,0.016979166666666667,0.12641927083333335,0.32031136693533424,0.7637766028993455
RetCam,1.png,paper_p08_area8,0.28675971331572453,0.16737857237218356,0.5359560067681517,0.19574621485219396,0.9754736104693589,0.046171875,0.12641927083333335,0.32031136693533424,0.7637766028993455
RetCam,1.png,paper_p12_area8,0.2864099832597724,0.16714031971580448,0.5482085639382065,0.19384076629930494,0.9768821451461411,0.04470052083333333,0.12641927083333335,0.32031136693533424,0.7637766028993455
RetCam,2.png,tuned_active,0.537314201808379,0.36734765762591165,0.5973423449223554,0.4882490636703891,0.9754058214385637,0.056832682291666665,0.06953125,0.38908056309822026,0.8593333213933623
RetCam,2.png,paper_triangle4_area200,0.2952098611327705,0.1731649276953975,0.8849391955096152,0.17715355805242616,0.998278757346764,0.013919270833333334,0.06953125,0.3355262050506726,0.8528413797437555
RetCam,2.png,paper_p08_area8,0.5258213525717412,0.35668767383725813,0.5899033422615239,0.4742977528089665,0.9753603414497587,0.05590494791666667,0.06953125,0.3355262050506726,0.8528413797437555
RetCam,2.png,paper_p12_area8,0.044869307559347954,0.022949518276620253,0.09100014308197295,0.02977528089887501,0.977774279317097,0.022750651041666667,0.06953125,0.3355262050506726,0.8528413797437555
RetCam,3.png,tuned_active,0.2742559067198443,0.1589203797873419,0.3386888973095613,0.23042021139467747,0.9696808603047169,0.042952473958333334,0.063134765625,0.19713894278706653,0.7689478906444447
RetCam,3.png,paper_triangle4_area200,0.0,0.0,0.0,0.0,0.9986622887024166,0.0012532552083333334,0.063134765625,0.12970780036334795,0.7105790968299189
RetCam,3.png,paper_p08_area8,0.1257080086505741,0.06706959706959462,0.18806491372224854,0.09440577468419209,0.9725334862146211,0.03169270833333333,0.063134765625,0.12970780036334795,0.7105790968299189
RetCam,3.png,paper_p12_area8,0.14989704873026358,0.08102092298560377,0.16030534351144096,0.14075792730084347,0.9503135803755983,0.055436197916666666,0.063134765625,0.12970780036334795,0.7105790968299189
RetCam,4.png,tuned_active,0.24501498761891818,0.13961087182533444,0.6824782187801691,0.14930904855191007,0.9902607766139832,0.026901041666666667,0.12296223958333333,0.4546865688731401,0.8210149161005325
RetCam,4.png,paper_triangle4_area200,0.11289530544097151,0.05982461162143018,0.7782667569394792,0.06086196854979455,0.9975689057477712,0.009615885416666666,0.12296223958333333,0.3842692571230638,0.8167871518976111
RetCam,4.png,paper_p08_area8,0.25808933532805606,0.14816450726344357,0.6696983141081777,0.1598453963043321,0.9889468722394982,0.029348958333333335,0.12296223958333333,0.3842692571230638,0.8167871518976111
RetCam,4.png,paper_p12_area8,0.1981340690352295,0.10996049463521565,0.4844989185291498,0.12453010006882713,0.9814234706375741,0.03160481770833334,0.12296223958333333,0.3842692571230638,0.8167871518976111
RetCam,5.png,tuned_active,0.09163034275141611,0.04801498619692231,0.48233740508402695,0.05062370062369887,0.9943666019975534,0.009860026041666666,0.0939453125,0.4578330495311274,0.8563123258068289
RetCam,5.png,paper_triangle4_area200,0.19195266272188782,0.1061657284984911,0.6566801619431869,0.1124047124047085,0.9939067327728642,0.016080729166666665,0.0939453125,0.3520446044161459,0.8236550704326626
RetCam,5.png,paper_p08_area8,0.23690959606752948,0.13437178010788126,0.5172655156322308,0.15363825363824832,0.98513329022059,0.027903645833333334,0.0939453125,0.3520446044161459,0.8236550704326626
RetCam,5.png,paper_p12_area8,0.15653426521193597,0.08491303215350086,0.3400950504230509,0.10166320166319814,0.9795465976862795,0.028082682291666668,0.0939453125,0.3520446044161459,0.8236550704326626
Neo,1.png,tuned_active,0.32134422025777176,0.19142949027174402,0.30555020853383685,0.3388600298868448,0.9614646495216443,0.052846272786458336,0.04765150282118055,0.192958031555741,0.7805269960260753
Neo,1.png,paper_triangle4_area200,0.13583716836025153,0.07286765193186848,0.5148677124793923,0.07823952181028683,0.9963113163544678,0.007241143120659722,0.04765150282118055,0.16602772426595386,0.7884735660936947
Neo,1.png,paper_p08_area8,0.3237535454327936,0.19314197178504053,0.31143984220906273,0.33708105030953045,0.962710826428918,0.05157470703125,0.04765150282118055,0.16602772426595386,0.7884735660936947
Neo,1.png,paper_p12_area8,0.33369488583979157,0.2002603742880358,0.2695728368017466,0.43784245356861745,0.9406392531483752,0.0773959689670139,0.04765150282118055,0.16602772426595386,0.7884735660936947
Neo,2.png,tuned_active,0.3356465371537584,0.20166782155742513,0.272345918038068,0.4372830423293903,0.960474862538406,0.052541097005208336,0.032723320855034724,0.1777749987698051,0.798909099030033
Neo,2.png,paper_triangle4_area200,0.1706701479547358,0.09329654122460186,0.5330252786081726,0.10160095331847564,0.9969887278865164,0.006237453884548611,0.032723320855034724,0.12371369461360436,0.7775983531713188
Neo,2.png,paper_p08_area8,0.2933842239185689,0.17190994483375152,0.24832190674466964,0.35842702450648367,0.9632950818810092,0.047232733832465276,0.032723320855034724,0.12371369461360436,0.7775983531713188
Neo,2.png,paper_p12_area8,0.26748388123855343,0.15439041423162875,0.19306430114445483,0.4352624216361621,0.9384547161113558,0.07377454969618055,0.032723320855034724,0.12371369461360436,0.7775983531713188
Neo,3.png,tuned_active,0.3342361780593378,0.20065040052913574,0.3533618067689007,0.3170745869988005,0.9640156937309684,0.052398681640625,0.0583953857421875,0.20811867170966378,0.7620945835124433
Neo,3.png,paper_triangle4_area200,0.08385439638844709,0.0437620169523643,0.39414634146331845,0.04691809656533848,0.9955273947074152,0.006951226128472222,0.0583953857421875,0.1354543040956292,0.7207103195628614
Neo,3.png,paper_p08_area8,0.261972584630392,0.1507298344742629,0.286033404357678,0.2416456173968516,0.9625932467981422,0.04933336046006945,0.0583953857421875,0.1354543040956292,0.7207103195628614
Neo,3.png,paper_p12_area8,0.2684447831332918,0.15503102674314323,0.2385983924862224,0.30682577011293133,0.9392777210599552,0.07509358723958333,0.0583953857421875,0.1354543040956292,0.7207103195628614
Neo,4.png,tuned_active,0.36412893879028807,0.22259024407523784,0.408045977011481,0.3287466973604958,0.966948696240188,0.052215576171875,0.06481085883246528,0.26699573329411214,0.7784216803808474
Neo,4.png,paper_triangle4_area200,0.11573116515702363,0.061419667415275145,0.6345151199164144,0.06367227352394739,0.9974582892945374,0.006503634982638889,0.06481085883246528,0.2004876459555083,0.7676382793654665
Neo,4.png,paper_p08_area8,0.35481065463818223,0.21566554368862062,0.40642307172766423,0.31482983231746375,0.9681343444579992,0.05020480685763889,0.06481085883246528,0.2004876459555083,0.7676382793654665
Neo,4.png,paper_p12_area8,0.3679353398878054,0.22544164387611462,0.3414077191725544,0.39893269155308037,0.9466675852116654,0.07573106553819445,0.06481085883246528,0.2004876459555083,0.7676382793654665
Neo,5.png,tuned_active,0.41754084264831537,0.26385568354704864,0.3528613874176349,0.5112535679191188,0.9647499441466559,0.052497016059027776,0.036232842339409724,0.25326160493397104,0.8452674051184936
Neo,5.png,paper_triangle4_area200,0.0980072152551066,0.05152869981483758,0.5964453737581827,0.05339010809040038,0.9986419281805161,0.003243340386284722,0.036232842339409724,0.1277590108474318,0.7989472023592823
Neo,5.png,paper_p08_area8,0.3360253699788513,0.2019414021802607,0.306490801804917,0.3718590613447957,0.9683667779042401,0.0439605712890625,0.036232842339409724,0.1277590108474318,0.7989472023592823
Neo,5.png,paper_p12_area8,0.3054760572387832,0.18027249396134926,0.2320153494923925,0.4470076271582777,0.9443735893732622,0.06980726453993055,0.036232842339409724,0.1277590108474318,0.7989472023592823
