phase,target_density,main_low_mult,main_high_mult,residual_enabled,residual_low_mult,recovery_axis_ratio,recovery_skeleton_length,recovery_branch_density,precision,recall,accuracy,f1,mean_precision,mean_recall,mean_accuracy,mean_f1,tp,fp,fn,tn,sample_count
threshold,0.105,1.35,0.55,False,1.22,2.3,,0.12,0.5673503284394703,0.40488416476246714,0.8853519899805554,0.4725427157010244,0.5550655377190428,0.42573643101016084,0.8880243599846352,0.47289092564925717,189238,144309,278150,3073138,10
threshold,0.105,1.35,0.45,False,1.22,2.3,,0.12,0.5666497673595383,0.404141740909052,0.8852179269899466,0.47179403922646074,0.5542952941972702,0.424840438446641,0.8878381170771344,0.47202828748896913,188891,144456,278497,3072991,10
threshold,0.105,1.35,0.5,False,1.22,2.3,,0.12,0.5666497673595383,0.404141740909052,0.8852179269899466,0.47179403922646074,0.5542952941972702,0.424840438446641,0.8878381170771344,0.47202828748896913,188891,144456,278497,3072991,10
threshold,0.105,1.25,0.45,False,1.22,2.3,,0.12,0.576888605374372,0.38697827073010005,0.8862432103472747,0.4632244565015565,0.5657182735558994,0.40871648480381967,0.8893114354136047,0.46562905496028834,180869,132656,286519,3084791,10
threshold,0.105,1.25,0.5,False,1.22,2.3,,0.12,0.576888605374372,0.38697827073010005,0.8862432103472747,0.4632244565015565,0.5657182735558994,0.40871648480381967,0.8893114354136047,0.46562905496028834,180869,132656,286519,3084791,10
threshold,0.105,1.25,0.55,False,1.22,2.3,,0.12,0.576888605374372,0.38697827073010005,0.8862432103472747,0.4632244565015565,0.5657182735558994,0.40871648480381967,0.8893114354136047,0.46562905496028834,180869,132656,286519,3084791,10
recovery,0.105,1.35,0.55,True,1.1,2.6,12,0.1,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,12,0.15,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,18,0.1,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,18,0.15,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,24,0.1,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.1,2.6,24,0.15,0.5138418620778422,0.418530214725239,0.8760191433266347,0.461314426334277,0.508569172518238,0.44918995057052136,0.8792569069939209,0.46812224744869946,195616,185077,271772,3032370,10
recovery,0.105,1.35,0.55,True,1.22,2.6,12,0.1,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,12,0.15,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,18,0.1,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,18,0.15,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,24,0.1,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
recovery,0.105,1.35,0.55,True,1.22,2.6,24,0.15,0.5092338427211167,0.41993803863171497,0.8750907435475401,0.4602951626255543,0.5031077397970793,0.4503562836122904,0.8781154726053666,0.46623825446267037,196274,189156,271114,3028291,10
threshold,0.095,1.35,0.45,False,1.22,2.3,,0.12,0.5800160777459912,0.3812977654539697,0.8865031948513299,0.46011786043929803,0.5689832838254798,0.4032511515035206,0.8896226975632409,0.46325702686631215,178214,129043,289174,3088404,10
threshold,0.095,1.35,0.5,False,1.22,2.3,,0.12,0.5800160777459912,0.3812977654539697,0.8865031948513299,0.46011786043929803,0.5689832838254798,0.4032511515035206,0.8896226975632409,0.46325702686631215,178214,129043,289174,3088404,10
